propertyid,latitude,longitude,bedrooms,bathrooms,averagedailyrateusd,rating_overall,rating_communication,rating_accuracy,rating_cleanliness,rating_checkin,rating_location,rating_value,reservationdays1,reservationdays2,reservationdays3,reservationdays4,reservationdays5,reservationdays6,reservationdays7,reservationdays8,reservationdays9,reservationdays10,reservationdays11,reservationdays12,nmon,gift
669183,37.823242,-122.24977,1,1.0,113.65,99,10,10,10,10,10,10,0.0,5.5,9.0,1.3333334,8.5,7.0,6.3333335,15.75,9.0,9.25,10.25,1.75,42,0
4576416,37.72942,-122.46354,1,1.0,233.0,98,10,10,10,10,10,10,2.6666667,3.25,9.666667,5.3333335,7.5,10.0,19.0,15.0,4.5,8.333333,0.0,5.0,34,0
2770561,37.757263,-122.39371,1,1.0,108.61,95,10,10,9,10,10,9,18.75,11.0,18.0,15.5,24.5,13.666667,20.0,16.0,18.0,20.666666,10.666667,11.333333,37,0
4263804,37.834801,-122.27167,1,1.0,106.47,98,10,10,10,10,9,10,6.6666665,3.0,0.66666669,20.0,12.666667,27.0,15.333333,10.0,2.0,13.333333,2.5,9.0,31,0
13245558,37.797577,-122.43556,1,1.5,160.38,95,10,10,10,10,10,9,6.0,0.0,2.0,11.0,9.5,13.0,21.0,8.0,9.0,6.0,5.0,3.0,15,0
13878777,37.727364,-122.4396,2,1.0,305.53,99,10,10,10,10,9,10,5.5,6.0,7.0,6.0,8.0,19.0,10.5,12.0,7.5,16.0,12.5,5.0,19,1
16480752,37.492947,-122.23217,1,1.0,237.14999,98,9,10,10,10,10,10,19.0,17.0,14.0,14.0,23.0,27.0,7.0,17.0,22.0,26.0,13.0,1.0,13,1
15720745,37.505486,-122.47407,4,3.0,546.19,100,10,10,10,10,10,10,20.5,16.0,29.0,28.0,26.0,28.0,29.0,21.0,26.0,29.0,18.5,19.0,17,1
7956817,37.73064,-122.43316,1,1.0,114.3,100,10,10,10,10,10,10,5.5,8.0,19.0,5.0,11.5,13.5,15.5,12.666667,14.0,8.0,8.5,4.5,27,0
5296316,37.761375,-122.40473,1,1.0,160.86,94,10,9,9,10,10,9,21.0,12.5,17.333334,27.333334,22.5,16.333334,27.5,26.0,25.0,24.0,15.5,26.0,27,1
634312,37.806843,-122.20979,1,1.0,103.03,97,10,10,10,10,10,10,15.0,16.0,23.5,19.0,25.666666,26.333334,24.666666,27.0,18.5,27.0,25.333334,25.75,40,0
568710,37.96574,-122.53102,0,1.0,58.84,92,10,9,9,10,10,9,17.75,9.75,11.75,8.333333,13.0,20.0,15.666667,12.5,10.5,13.0,9.5,7.75,44,0
1919372,37.7757,-122.43847,0,1.0,195.46001,98,10,10,10,10,10,9,18.5,20.25,22.75,21.0,20.0,22.0,26.0,26.333334,25.5,25.75,13.25,14.5,43,0
3655507,37.662876,-121.87369,0,1.0,126.45,96,10,10,10,10,10,10,0.66666669,2.0,0.66666669,1.6666666,7.6666665,6.6666665,10.666667,15.0,1.5,5.0,4.25,3.0,40,0
16605585,37.777287,-121.89677,1,1.0,65.75,99,10,10,10,10,10,10,10.5,18.5,15.5,20.0,21.0,19.0,12.0,2.0,15.0,27.0,6.0,6.0,15,0
4462326,37.753628,-122.43707,1,1.5,99.400002,93,10,9,10,10,10,9,12.0,11.0,14.0,9.333333,14.333333,13.666667,16.0,18.666666,20.333334,13.25,10.25,13.0,42,0
1104912,37.7752,-122.50139,1,1.0,178.23,89,10,9,9,10,9,9,5.25,8.25,5.75,1.6666666,10.0,20.5,25.0,19.0,19.0,15.0,6.25,5.0,40,0
6387137,37.736553,-122.38984,1,1.0,43.099998,75,10,8,8,9,7,8,22.5,22.0,26.5,26.5,22.666666,21.333334,25.0,27.5,25.5,26.0,14.5,16.0,26,1
7754018,37.787159,-122.41058,0,1.0,310.10999,100,10,10,10,10,10,10,4.3333335,0.66666669,1.3333334,0.0,0.0,3.0,0.0,0.66666669,3.0,3.6666667,2.3333333,0.0,32,0
15020758,37.775497,-122.26154,2,1.0,157.64999,100,10,10,10,10,10,10,28.5,23.0,20.5,28.0,27.0,18.0,30.0,25.0,9.0,19.0,8.5,21.0,19,0
6467840,37.554413,-122.01421,3,2.0,259.29001,89,10,9,8,10,9,9,3.0,6.5,6.0,4.0,7.5,8.5,3.0,26.0,4.6666665,7.5,0.0,13.5,23,1
10522501,37.704517,-122.4234,1,1.5,74.980003,96,10,10,9,10,9,10,10.0,11.5,20.5,27.0,27.5,26.5,26.5,29.0,26.0,18.5,0.0,16.0,22,0
4343362,37.530888,-122.28702,1,1.0,134.09,93,10,9,9,10,9,10,0.0,2.0,2.6666667,2.0,4.0,5.3333335,4.6666665,1.6666666,2.0,1.6666666,0.0,0.0,36,0
8103410,37.800381,-122.27037,1,1.5,89.230003,100,10,10,10,10,9,10,4.0,8.0,16.0,14.5,23.0,26.0,9.5,23.0,3.6666667,7.0,0.0,9.0,21,0
4339856,37.864906,-122.26292,1,2.0,63.259998,91,10,9,8,9,10,9,14.5,4.75,15.0,10.666667,15.666667,16.333334,23.0,21.333334,12.333333,17.666666,10.0,9.333333,38,0
3721843,37.910904,-122.56647,1,1.0,165.94,94,9,9,9,9,10,9,13.0,11.75,13.75,19.333334,22.0,20.0,24.666666,20.75,23.333334,23.0,16.666666,17.666666,39,0
10070413,37.714035,-122.41363,1,1.0,47.950001,94,10,9,9,10,9,9,3.0,0.0,8.0,8.0,0.0,3.0,13.0,18.5,13.0,13.0,4.0,0.0,18,0
7643927,37.778324,-122.48869,1,1.5,85.889999,91,10,10,9,10,9,9,23.333334,22.666666,24.666666,23.5,29.0,29.0,30.0,28.333334,29.333334,30.333334,16.666666,26.333334,32,0
8304579,37.749512,-122.4098,1,1.0,220.31,100,10,10,10,10,10,10,0.66666669,4.0,5.3333335,0.0,2.5,3.0,14.5,11.5,7.5,7.0,9.5,5.0,27,0
2142354,37.432323,-122.19679,1,1.0,133.50999,98,10,10,10,10,10,10,24.5,19.25,19.333334,27.5,20.0,28.333334,29.0,29.5,23.25,16.5,15.333333,18.25,41,0
6304566,37.76292,-122.41715,1,1.0,325.85999,100,10,10,10,10,9,9,17.666666,0.0,5.0,0.0,2.6666667,8.5,1.6666666,5.0,5.6666665,3.0,9.0,0.0,29,1
4701489,37.787388,-122.40934,0,1.0,280.17999,98,10,10,10,10,10,9,4.25,5.5,4.5,2.3333333,8.666667,7.0,6.3333335,8.0,8.0,4.3333335,4.0,1.5,41,0
11641748,37.892536,-122.28262,1,1.0,104.78,96,10,10,9,10,10,10,4.5,9.5,13.333333,11.0,20.5,16.0,18.0,25.5,14.5,19.0,7.0,8.0,24,0
3273246,37.801003,-122.27023,1,1.5,71.949997,93,10,10,9,10,9,9,20.75,22.25,27.25,22.666666,26.0,26.333334,25.333334,17.666666,21.0,19.5,18.0,17.5,40,0
16620918,37.775055,-122.4916,2,1.0,258.81,92,10,9,10,10,9,9,14.0,16.0,19.0,24.0,19.0,28.0,27.0,25.0,29.0,23.0,15.0,15.0,15,1
7197697,37.826836,-122.25507,0,1.0,117.34,88,9,9,9,9,10,9,16.0,11.0,17.333334,15.0,24.5,16.5,26.5,18.333334,17.666666,15.333333,13.333333,7.6666665,32,1
15094108,37.778038,-122.39137,1,2.0,618.75,100,10,10,10,10,10,9,18.5,14.5,6.5,13.0,14.0,15.0,20.0,0.0,3.0,8.5,8.0,5.0,19,1
13358837,37.896381,-122.70257,0,1.0,117.02,96,10,10,10,10,10,9,12.5,14.0,14.5,18.0,19.0,14.5,24.0,21.0,18.5,19.0,17.0,15.0,22,0
8597092,37.756969,-122.40765,1,1.0,77.900002,89,10,9,9,10,9,9,21.0,19.0,13.5,27.5,29.5,28.5,22.0,15.0,24.0,17.333334,17.333334,23.5,25,0
2898370,38.007668,-122.69626,4,3.0,304.56,99,10,10,10,10,10,10,3.0,11.0,1.6666666,3.3333333,6.0,11.0,10.333333,13.0,7.25,7.5,6.5,2.75,41,0
15115501,37.799549,-122.43816,2,1.0,346.88,97,10,9,9,10,10,9,31.0,28.0,31.0,25.0,26.0,26.0,30.0,28.0,15.5,22.5,26.5,18.5,16,1
13415851,37.766674,-122.42355,0,1.0,188.13,96,10,10,10,10,10,10,23.0,23.0,14.0,26.0,25.0,1.0,24.0,13.0,26.0,28.0,26.0,15.0,13,1
9798265,37.509518,-121.96079,1,1.0,54.32,99,10,10,10,10,10,10,25.666666,19.0,28.0,26.0,1.0,1.5,19.0,10.0,22.0,20.0,22.0,13.0,23,0
6102467,37.731293,-122.13225,10,6.5,2159.6201,96,10,10,9,10,10,9,1.6666666,1.0,0.0,0.0,0.0,1.0,2.0,2.3333333,1.6666666,3.3333333,0.0,1.3333334,36,1
14402698,37.942322,-122.04715,1,1.0,73.57,99,10,10,10,10,10,10,20.0,25.0,15.0,20.0,22.0,15.0,26.0,18.5,27.0,17.0,23.5,28.5,17,0
9461704,37.70285,-122.14989,1,1.0,90.0,99,10,10,10,10,10,10,6.5,7.0,3.5,3.5,7.5,13.5,16.5,14.5,23.0,6.0,0.0,2.6666667,22,0
15327951,37.986523,-122.5267,1,1.0,61.02,98,10,10,10,10,10,10,0.0,0.0,0.0,11.0,0.0,15.0,16.0,14.0,20.0,12.0,0.0,1.0,18,0
4241290,37.845413,-122.5099,2,2.0,399.48999,99,10,10,10,10,10,10,2.0,1.6666666,6.3333335,6.0,9.666667,9.333333,14.333333,6.3333335,4.0,8.5,3.0,2.3333333,37,0
5617847,37.76004,-122.41809,1,1.5,134.56,98,10,10,10,10,9,9,8.0,11.5,6.3333335,11.0,14.666667,7.6666665,15.333333,25.333334,20.0,20.666666,13.666667,10.333333,35,0
7516074,37.460152,-122.15183,1,1.0,79.809998,91,9,9,9,9,9,9,7.6666665,12.0,22.5,13.5,22.5,28.0,21.333334,26.0,17.666666,22.0,20.666666,15.666667,31,0
14595848,37.747894,-122.44489,1,1.0,161.75999,95,10,10,10,10,9,9,19.0,23.0,24.0,17.0,19.0,24.0,25.0,15.5,24.5,22.5,11.0,20.5,20,1
10545518,37.750065,-122.43925,3,2.5,712.34003,100,10,10,10,10,10,10,1.5,2.3333333,7.0,5.5,9.5,3.5,7.0,3.0,1.0,4.0,1.5,0.0,25,1
16883902,37.783894,-122.39053,1,1.0,133.03999,96,9,10,9,10,10,9,1.5,18.0,12.0,20.0,28.0,3.0,20.0,11.0,12.0,20.0,21.0,9.0,13,1
3694760,37.829269,-122.25478,1,1.0,97.040001,84,10,9,8,10,9,9,28.75,21.5,30.0,27.5,21.333334,23.333334,25.666666,24.0,19.25,26.0,26.666666,28.25,39,1
16086843,37.788933,-122.40502,1,1.0,134.27,87,10,9,9,10,10,9,26.5,25.0,25.0,25.0,26.0,28.0,26.0,30.0,30.0,29.0,8.5,20.5,17,0
10722703,37.800636,-122.26601,1,1.0,106.15,95,10,10,9,10,9,10,28.0,15.5,25.0,23.5,26.5,16.5,26.0,28.0,25.0,21.5,28.0,30.0,19,0
14316514,37.89473,-122.52127,1,1.5,110.19,100,10,10,10,10,10,10,14.5,3.5,21.0,1.0,11.0,29.0,15.0,23.5,9.5,8.0,28.0,25.0,17,0
8580683,37.433918,-122.20443,1,1.0,80.0,100,10,10,9,10,10,10,31.0,18.0,28.0,18.0,28.0,0.0,0.0,2.0,1.0,10.0,12.0,23.0,12,0
15902748,37.683357,-122.40635,1,1.0,80.199997,94,10,10,10,10,9,9,19.5,23.5,24.5,25.0,31.0,29.0,29.0,29.0,26.0,29.0,11.5,21.5,17,0
14696763,37.754337,-122.44326,1,1.0,270.23001,93,9,9,10,10,9,9,11.0,15.0,10.5,6.0,15.0,8.0,27.0,22.0,14.5,18.5,13.5,6.0,19,1
7038579,37.738476,-122.38826,3,1.0,318.57001,92,10,10,9,10,8,9,0.0,4.0,6.0,3.0,18.0,6.5,6.3333335,0.0,2.0,0.0,7.0,0.0,18,1
1887829,37.781353,-122.42434,1,1.0,217.72,94,10,10,10,10,9,9,9.25,13.666667,10.25,17.666666,20.666666,17.0,25.0,16.25,16.25,19.5,15.666667,9.666667,41,0
7344289,37.781181,-122.46633,2,1.0,430.39001,96,10,10,10,10,10,9,17.5,18.0,21.0,24.0,15.5,28.0,21.0,20.0,21.0,23.0,19.5,22.5,23,1
6195934,37.790356,-122.42635,2,1.0,264.41,96,10,10,10,10,10,9,5.0,7.0,12.0,22.0,22.5,18.0,20.0,20.5,19.5,23.5,9.0,4.6666665,25,1
336133,37.772911,-122.4407,1,1.0,180.77,91,10,9,8,10,10,9,4.6666665,10.0,7.0,12.0,14.333333,19.5,12.5,7.0,14.0,11.333333,0.0,5.6666665,32,0
4503443,37.877228,-122.27722,2,2.0,368.79001,95,10,9,9,10,10,9,10.0,0.33333334,0.0,6.0,6.0,9.0,19.0,12.333333,1.3333334,3.6666667,7.75,7.0,29,1
6727732,37.91259,-122.3048,2,1.0,164.52,96,10,10,10,10,9,9,5.0,9.5,9.666667,7.0,17.0,5.0,8.666667,15.5,8.333333,14.0,8.0,7.0,31,0
14357170,37.570576,-122.32557,1,1.0,72.779999,98,10,10,10,10,9,10,18.5,12.5,18.0,13.0,30.0,16.0,21.0,2.0,19.0,25.0,20.5,22.0,20,0
5284994,37.955502,-121.97208,1,1.0,39.900002,87,9,9,9,9,9,9,1.0,7.5,10.0,2.0,1.5,21.0,20.0,3.0,5.0,0.0,3.0,13.0,17,0
11690274,37.72747,-122.40887,1,1.0,130.23,88,10,9,9,10,9,9,5.0,16.0,7.0,10.5,11.0,19.0,18.0,13.5,8.5,18.0,7.0,3.5,23,0
655906,37.867374,-122.58148,1,1.0,197.03999,98,10,10,10,10,10,10,22.5,17.5,20.333334,21.0,14.666667,13.0,17.666666,15.666667,18.0,14.333333,13.0,11.0,29,0
13788749,37.777962,-122.43185,1,1.0,82.099998,92,10,10,9,10,10,9,25.0,18.0,29.5,24.0,22.0,27.0,20.5,29.0,29.5,29.5,24.0,20.5,21,0
4439165,37.469673,-122.1291,1,1.0,165.0,100,10,10,10,10,9,10,0.0,0.0,1.3333334,0.0,0.0,0.5,0.0,1.5,0.0,4.75,0.0,0.0,32,0
10878584,37.799232,-122.41016,1,2.5,128.37,90,8,10,8,9,10,9,31.0,14.0,31.0,28.0,19.0,19.5,16.5,31.0,30.0,31.0,30.0,31.0,17,1
9028833,37.625397,-122.40639,1,1.0,134.8,93,10,10,9,10,9,9,21.666666,19.666666,26.0,27.5,28.5,29.5,31.0,30.5,28.0,31.0,19.666666,16.333334,29,0
14165507,37.851017,-122.27597,1,1.0,93.839996,98,10,10,10,10,10,10,9.0,2.0,0.5,15.0,7.0,16.0,8.5,21.0,22.0,14.0,15.5,15.5,21,0
18012893,37.764713,-122.47813,1,1.0,111.5,91,10,10,9,10,9,9,20.0,16.0,26.0,16.0,31.0,26.0,29.0,24.0,25.0,21.0,21.0,17.0,12,1
4034215,37.868515,-122.24284,3,2.0,329.89999,98,10,10,10,10,10,10,12.75,8.5,12.25,16.333334,14.333333,16.0,22.666666,21.0,17.75,13.5,16.25,12.25,43,0
334339,37.762951,-122.44259,1,1.0,108.05,98,10,10,10,10,10,10,16.0,12.0,21.25,17.0,18.333334,23.333334,23.0,21.75,20.75,16.5,18.25,8.5,44,0
6303881,38.042007,-122.78819,1,1.0,199.71001,97,10,10,10,10,10,10,9.666667,10.666667,7.0,16.0,10.0,8.666667,17.5,16.666666,12.0,11.333333,10.666667,12.0,33,0
10596363,37.791973,-122.41142,1,1.0,229.84,93,10,10,9,9,10,9,13.0,26.0,23.0,16.0,18.5,17.5,25.0,29.0,29.0,29.0,23.0,21.0,19,1
13988824,37.775314,-122.42899,2,1.0,119.4,99,10,10,9,10,10,10,20.0,9.0,9.0,19.0,19.0,3.0,2.0,28.0,23.0,17.0,19.0,15.0,12,1
7827664,37.808346,-122.30125,1,1.0,52.380001,94,10,10,10,10,8,9,3.0,3.0,15.0,2.0,6.0,0.5,7.5,8.0,6.0,5.6666665,0.0,2.3333333,26,0
5383620,38.0732,-122.85078,4,2.5,512.66998,98,10,10,10,10,10,9,7.0,6.25,9.0,9.333333,8.666667,4.0,7.6666665,5.3333335,2.3333333,5.3333335,12.333333,8.0,36,1
12741695,37.760685,-122.50283,0,1.0,137.39,99,10,10,10,10,10,10,21.0,19.5,24.5,13.0,27.0,29.0,31.0,23.5,28.5,27.0,22.5,22.0,20,0
2566174,37.514935,-122.51176,1,1.0,238.7,97,10,10,10,10,10,9,8.75,4.5,8.333333,8.666667,10.333333,10.0,15.666667,18.0,9.0,9.5,7.75,5.5,43,0
14197816,37.787849,-122.41309,1,1.0,279.10999,97,10,10,10,10,10,8,1.0,5.5,13.5,16.0,9.0,0.0,2.5,3.5,2.5,6.0,6.5,2.0,21,1
17760632,37.788242,-122.4118,1,1.0,275.79001,98,10,10,10,10,10,10,7.0,18.0,6.5,5.0,3.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,13,1
1917622,37.78104,-122.44003,0,1.0,251.84,95,10,10,10,10,10,9,11.0,9.0,11.75,2.6666667,7.0,15.666667,10.333333,15.333333,16.0,11.5,3.3333333,6.0,40,0
133100,37.983158,-122.54081,2,2.0,270.10001,88,10,9,8,10,9,8,5.75,1.0,0.5,2.6666667,2.6666667,0.33333334,3.0,8.25,1.0,3.6666667,0.66666669,0.75,41,0
185540,38.011139,-122.68565,1,1.0,194.97,99,10,10,10,10,10,10,3.0,7.5,2.6666667,5.0,4.0,13.666667,24.5,6.3333335,14.0,8.666667,3.6666667,2.3333333,28,0
1113230,37.762627,-122.42731,1,1.0,194.35001,96,10,10,10,10,10,9,22.0,19.5,23.666666,23.0,22.333334,23.666666,25.0,26.25,24.75,25.5,20.0,19.0,43,0
13359832,37.908253,-122.06029,1,1.0,84.510002,92,10,10,10,10,10,10,0.0,5.0,5.0,1.0,0.0,2.5,9.5,6.5,10.5,7.0,9.0,1.5,20,0
